,auth_id,name,last_name,citations,cited_by,publications,orcid
5648,55339796100,Sara Domínguez,Marco,0.0,0,2.0,
5649,57192368252,Manuel,Cortijo,17.0,17,1.0,
5650,55791175300,R.,Prieto Corral,23.0,23,2.0,
5651,53563556700,José Manuel,Barbeito,1.0,1,2.0,
5652,55483196200,Weiyu,Zhu,5.0,4,2.0,
5653,57192354110,F. Pérez,Costoya,0.0,0,1.0,
5654,56901205400,Marta,Pati Ñ O-Martinez,0.0,0,0.0,
5655,57199495349,Álvaro Gutiérrez,Martín,0.0,0,1.0,
5656,57207832565,O.,Perpiñán-Lamigueiro,0.0,0,1.0,
5657,57193580204,P.,Cueto,0.0,0,1.0,
5658,57192873878,P. R.,De La Peña Benítez,1.0,1,1.0,
5659,57192349279,L. M Gómez,Henriquez,0.0,0,1.0,
5660,6504610786,J. Javier,Diez Gonzales,0.0,0,1.0,
5661,57195474918,Christian,Franco-Crespo,1.0,1,1.0,
5662,57197577486,Jose Maria,Sebastian,0.0,0,1.0,
5663,56391517700,Francisco Javier Diego,Martín,0.0,0,1.0,
5664,57199326660,Borja Laguía,Morales,0.0,0,1.0,
5665,55352466500,Alberto,Núñez,5.0,5,2.0,
5666,6701676136,R.,Cueto,4.0,4,1.0,
5667,57206400957,A.,Gil,0.0,0,1.0,
5668,57198380154,Carmen,Ortiz,4.0,4,1.0,
5669,57208707841,L. De La,Torre,0.0,0,1.0,
5670,6507707939,Jose Raul,Vento Alvarez,1.0,1,1.0,
5671,6506159936,M. T.,Martin-Blas,0.0,0,0.0,
5672,7801576608,Ó.,Alemán,7.0,7,1.0,
5673,57200219627,Sergio,López Gregorio,0.0,0,1.0,
5674,57204790158,Carlos,Romero,0.0,0,1.0,
5675,56977112600,Juan Pazos,Sierra,0.0,0,1.0,
5676,56487006000,Monica Carrero,Mora,4.0,4,1.0,
5677,7003487205,R.,Abad,0.0,0,1.0,
5678,57188859402,Alejandro,Lopez,3.0,3,1.0,
5679,56727577400,Arturo,Serrano,0.0,0,1.0,
5680,57202423131,D. A.,Almeida,0.0,0,1.0,
5681,56514134000,María Del Mar,Robisco Martín,0.0,0,1.0,
5682,36615807500,Diana Vanessa,Ramírez-Deantes,12.0,12,2.0,
5683,56902213700,Pedro,Pérez,1.0,1,1.0,
5684,56536979700,D.,Rivera-Gámez,0.0,0,1.0,
5685,57085992300,H.,Rodríguez,0.0,0,1.0,
5686,36440363500,Jose Bruno,Ramiro-Díaz,1.0,1,2.0,
5687,57190406225,J. M.,Lizaso,0.0,0,1.0,
5688,57192680723,F. R.,Blanquez,10.0,10,1.0,
5689,25623410400,Francisco V.,Laguna,4.0,4,2.0,
5690,6507955447,Luis M.,Marcelo,1.0,1,1.0,
5691,57203718872,Gema,Martí-Blanc,0.0,0,1.0,
5692,57197542563,Lourdes,Lopez,1.0,1,1.0,
5693,56358106200,Ester,Pascual Albarracín,1.0,1,1.0,
5694,57195628952,Diego,Garrido Bellido,6.0,6,1.0,
5695,57194770052,Beatriz Orfao,Tabernero,3.0,3,1.0,
5696,57197423535,J.,Infante,0.0,0,1.0,
5697,57208582200,Javier,Pacios,0.0,0,1.0,
5698,57205266370,J. G.,Ayuga,0.0,0,1.0,
5699,6504498257,M.,De LaTorre,14.0,14,1.0,
5700,56664141700,David,Del Rio,1.0,1,1.0,
5701,56844746500,L. Blay,Muñoz,0.0,0,1.0,
5702,57191102229,M.,Carmen Matías,8.0,8,1.0,
5703,57208564520,A.,Moratalla,0.0,0,1.0,
5704,7201902695,Pilar Calvo,Perez,0.0,0,1.0,
